query,link,score_description,score,,Searches - GA4 Item-list view events (3 months Feb to April),Clicks - GA4 Item-list click events (3 months Feb to April),Item-list CTR,Weighted sort (Expected True Value),clusterID
peat,,,,,116,41,35%,62.98%,521
personal assistant,,,,,62,7,11%,62.98%,49
transition,,,,,62,7,11%,62.98%,211
core,,,,,62,7,11%,62.98%,594
ccs,,,,,135,53,39%,62.98%,1123
is my passport valid,,,,,81,19,23%,62.98%,801
section 4,,,,,81,19,23%,62.98%,963
hello,,,,,54,2,4%,62.98%,1277
tech nation,,,,,127,48,38%,62.98%,235
pension rise,,,,,127,48,38%,62.98%,406
track your visa,,,,,100,31,31%,62.98%,702
care home,,,,,73,14,19%,62.98%,187
remote,,,,,73,14,19%,62.98%,876
adaptations,,,,,119,43,36%,62.98%,234
airport,,,,,119,43,36%,62.98%,500
withdrawal,,,,,92,26,28%,62.98%,779
hmrc opening hours,,,,,65,9,14%,62.98%,92
mobile phone,,,,,238,118,50%,62.98%,857
ni number application,/apply-national-insurance-number,3 perfect,3,,57,4,7%,62.98%,466
declaration of trust,,,,,176,79,45%,62.98%,267
life insurance,,,,,222,108,49%,62.98%,87
leave to remain renewal application form,,,,,68,11,16%,62.98%,204
electrical engineer,,,,,68,11,16%,62.98%,605
you may need to use a second qr code to link the app,,,,,114,40,35%,62.98%,755
fitness,,,,,60,6,10%,62.98%,33
stamps,,,,,60,6,10%,62.98%,847
compliance interview,,,,,79,18,23%,62.98%,296
pension funds,,,,,79,18,23%,62.98%,373
children's program,,,,,52,1,2%,62.98%,107
how to apply from the uk for a norwegian pension,,,,,52,1,2%,62.98%,403
find my application,,,,,52,1,2%,62.98%,916
ford,,,,,52,1,2%,62.98%,1211
civil engineer,,,,,125,47,38%,62.98%,313
furlough,,,,,198,93,47%,62.98%,406
newcastle,,,,,98,30,31%,62.98%,1210
pay your corperation tax bill,/pay-corporation-tax,3 perfect,3,,71,13,18%,62.98%,8
press releases,,,,,117,42,36%,62.98%,853
employment details,,,,,90,25,28%,62.98%,738
food allowance,,,,,63,8,13%,62.98%,639
use of home,,,,,82,20,24%,62.98%,906
pm ukraine 2022,,,,,55,3,5%,62.98%,982
rap,,,,,55,3,5%,62.98%,1186
leadership,,,,,128,49,38%,62.98%,297
right to stay,,,,,174,78,45%,62.98%,777
colchester,,,,,74,15,20%,62.98%,1207
gp registration,https://www.nhs.uk/service-search,3 perfect,3,,74,15,20%,62.98%,1444
requirements,,,,,120,44,37%,62.98%,230
pvg,,,,,66,10,15%,62.98%,1140
x,,,,,66,10,15%,62.98%,1466
marine,,,,,112,39,35%,62.98%,496
animal welfare,,,,,158,68,43%,62.98%,106
ni tables,,,,,58,5,9%,62.98%,465
secure message,,,,,58,5,9%,62.98%,846
iht 405,,,,,77,17,22%,62.98%,1059
pip log in,,,,,123,46,37%,62.98%,248
nursery funding,,,,,123,46,37%,62.98%,415
literacy,,,,,96,29,30%,62.98%,41
cancer benefits,,,,,69,12,17%,62.98%,121
solar panel funding,,,,,69,12,17%,62.98%,587
study leave,,,,,69,12,17%,62.98%,833
dublin,,,,,69,12,17%,62.98%,1309
pep,,,,,69,12,17%,62.98%,1375
second qr code,,,,,115,41,36%,62.98%,825
g7,,,,,88,24,27%,62.98%,1174
safeguarding training,,,,,134,53,40%,62.98%,32
charge,,,,,91,26,29%,62.98%,328
opticians,,,,,64,9,14%,62.98%,70
government departments,,,,,64,9,14%,62.98%,310
queen,,,,,64,9,14%,62.98%,1001
british army,,,,,83,21,25%,62.98%,302
prescription exemption,,,,,83,21,25%,62.98%,798
swap,,,,,83,21,25%,62.98%,1333
public sector,,,,,56,4,7%,62.98%,272
certificate of origin,,,,,56,4,7%,62.98%,281
register of licenced sponsors,,,,,129,50,39%,62.98%,795
change registration,,,,,202,96,48%,62.98%,804
private landlord,,,,,94,28,30%,62.98%,412
visa application refund,,,,,94,28,30%,62.98%,709
hmp,,,,,67,11,16%,62.98%,1227
local councils,,,,,86,23,27%,62.98%,305
kpi,,,,,86,23,27%,62.98%,1137
pap,,,,,59,6,10%,62.98%,1002
somaliland,,,,,105,35,33%,62.98%,1033
nic calculator,,,,,78,18,23%,62.98%,620
auto,,,,,51,1,2%,62.98%,484
nia,,,,,51,1,2%,62.98%,688
ot,,,,,51,1,2%,62.98%,1128
crm,,,,,51,1,2%,62.98%,1215
nsi,,,,,70,13,19%,62.98%,99
assault,,,,,70,13,19%,62.98%,337
racism,,,,,143,59,41%,62.98%,352
aspen card,,,,,81,20,25%,62.98%,431
rail card,,,,,81,20,25%,62.98%,432
cgt calculator,,,,,81,20,25%,62.98%,742
passport validity,,,,,81,20,25%,62.98%,802
universal credit phone number,,,,,154,66,43%,62.98%,461
care homes with certificate of sponsorship,,,,,54,3,6%,62.98%,69
crimea sanctions,,,,,54,3,6%,62.98%,288
form 16,,,,,54,3,6%,62.98%,966
ukraine russia,,,,,54,3,6%,62.98%,1012
miscarriage,,,,,54,3,6%,62.98%,1032
caversham primary,,,,,54,3,6%,62.98%,1339
dta,,,,,100,32,32%,62.98%,1373
hmrc opening times,,,,,73,15,21%,62.98%,91
ask hrmc online,/contact-hmrc,3 perfect,3,,119,44,37%,62.98%,921
housing element,,,,,65,10,15%,62.98%,418
weather,,,,,111,39,35%,62.98%,530
under 18,,,,,111,39,35%,62.98%,968
travelling to uk,,,,,157,68,43%,62.98%,781
public liability,,,,,57,5,9%,62.98%,270
citizen ship,,,,,57,5,9%,62.98%,497
spanish,,,,,57,5,9%,62.98%,1259
statutory,,,,,176,80,45%,62.98%,291
kit,,,,,76,17,22%,62.98%,662
a64a,,,,,95,29,31%,62.98%,1321
care companies with sponsorship,,,,,87,24,28%,62.98%,69
child funding,,,,,79,19,24%,62.98%,104
link gov id,,,,,79,19,24%,62.98%,1453
contact number for hmrc,,,,,152,65,43%,62.98%,506
bussiness,,,,,52,2,4%,62.98%,72
anonymous reporting driver,,,,,52,2,4%,62.98%,478
français,,,,,52,2,4%,62.98%,1310
apprenticership,,,,,52,2,4%,62.98%,1341
equity,,,,,71,14,20%,62.98%,389
pandemic,,,,,71,14,20%,62.98%,787
how to apply for ni,/apply-national-insurance-number,3 perfect,3,,63,9,14%,62.98%,464
visa refusal,,,,,109,38,35%,62.98%,705
2136,,,,,155,67,43%,62.98%,1254
non,,,,,55,4,7%,62.98%,247
electric storage heaters,,,,,55,4,7%,62.98%,615
csa calculator,,,,,55,4,7%,62.98%,1435
sos,,,,,55,4,7%,62.98%,1442
mange my tax credits,/manage-your-tax-credits,3 perfect,3,,58,6,10%,62.98%,10
divorce update,,,,,58,6,10%,62.98%,739
fuel card,,,,,104,35,34%,62.98%,432
council tax payment,/pay-council-tax,3 perfect,3,,77,18,23%,62.98%,17
preschool,/find-nursery-school-place,3 perfect,3,,77,18,23%,62.98%,22
mathematics mastery 2014,,,,,50,1,2%,62.98%,41
"creative industries mapping document, prepared",,,,,50,1,2%,62.98%,209
energy performance certficate,,,,,50,1,2%,62.98%,612
mason,,,,,50,1,2%,62.98%,1340
cds dashboard,,,,,96,30,31%,62.98%,54
vehicle tac,,,,,69,13,19%,62.98%,258
type 1 diabetes,,,,,69,13,19%,62.98%,959
retain,,,,,61,8,13%,62.98%,546
recycling bags,,,,,61,8,13%,62.98%,686
on line account,,,,,61,8,13%,62.98%,933
university of east london,,,,,61,8,13%,62.98%,1206
18001,,,,,61,8,13%,62.98%,1350
healthy start card,,,,,53,3,6%,62.98%,431
enquiry form,,,,,72,15,21%,62.98%,204
immigration advisors,,,,,72,15,21%,62.98%,325
ihs number,,,,,118,44,37%,62.98%,860
dissolution,,,,,91,27,30%,62.98%,210
newsletter,,,,,91,27,30%,62.98%,761
technology,,,,,164,73,45%,62.98%,236
spring statement 2023,,,,,64,10,16%,62.98%,287
health care assistant jobs,,,,,110,39,35%,62.98%,190
wellbeing,,,,,156,68,44%,62.98%,72
getting married aboard,,,,,56,5,9%,62.98%,1031
contact form,,,,,102,34,33%,62.98%,204
jsp 754,,,,,102,34,33%,62.98%,1213
life certificate form,,,,,75,17,23%,62.98%,204
pip email,,,,,75,17,23%,62.98%,732
hearing loss,,,,,94,29,31%,62.98%,332
p60u,,,,,94,29,31%,62.98%,1050
new business grants,,,,,67,12,18%,62.98%,58
government publications,,,,,59,7,12%,62.98%,310
caretaker,,,,,59,7,12%,62.98%,1032
driving lesson,,,,,232,116,50%,62.98%,477
special,,,,,132,53,40%,62.98%,73
codes,,,,,132,53,40%,62.98%,725
postcode,,,,,132,53,40%,62.98%,849
carer element,,,,,105,36,34%,62.98%,105
placement,,,,,105,36,34%,62.98%,227
bame,,,,,78,19,24%,62.98%,1260
identification verification,,,,,51,2,4%,62.98%,226
public attitude to prison,,,,,51,2,4%,62.98%,324
vat 50,,,,,51,2,4%,62.98%,949
stan,,,,,51,2,4%,62.98%,1016
a levels,,,,,97,31,32%,62.98%,255
child element,,,,,170,77,45%,62.98%,104
borneo,,,,,70,14,20%,62.98%,1250
panel outcome,,,,,143,60,42%,62.98%,1339
van,,,,,216,106,49%,62.98%,486
professional,,,,,189,89,47%,62.98%,32
service history,,,,,162,72,44%,62.98%,280
mot sign in,,,,,62,9,15%,62.98%,813
spc,,,,,62,9,15%,62.98%,1301
foundation,,,,,81,21,26%,62.98%,215
hmrc jobs,,,,,54,4,7%,62.98%,179
cdc,,,,,54,4,7%,62.98%,772
gov. uk,,,,,54,4,7%,62.98%,909
bta,,,,,54,4,7%,62.98%,1101
remote work,,,,,73,16,22%,62.98%,61
sc,,,,,73,16,22%,62.98%,1422
excel,,,,,92,28,30%,62.98%,75
proof of ni number,,,,,92,28,30%,62.98%,466
log in tax,/log-in-register-hmrc-online-services,3 perfect,3,,65,11,17%,62.98%,6
help for house hold,,,,,65,11,17%,62.98%,67
pubs,,,,,65,11,17%,62.98%,166
grandfather rights,,,,,65,11,17%,62.98%,353
missed payment,,,,,65,11,17%,62.98%,459
bookkeeping,,,,,65,11,17%,62.98%,598
energy crisis,,,,,111,40,36%,62.98%,612
my pension online,,,,,84,23,27%,62.98%,403
sdlt form 17,,,,,57,6,11%,62.98%,966
uploading documents,,,,,103,35,34%,62.98%,750
references,,,,,103,35,34%,62.98%,820
how to repay your tax credits,/tax-credits-overpayments/repay-your-tax-credits,3 perfect,3,,76,18,24%,62.98%,10
guide to maintaining roadworthiness,,,,,76,18,24%,62.98%,837
cherished transfer,,,,,68,13,19%,62.98%,1031
housing grants,,,,,114,42,37%,62.98%,382
contact email address,,,,,87,25,29%,62.98%,733
dss,,,,,60,8,13%,62.98%,533
free training,,,,,133,54,41%,62.98%,904
equality impact assessment,,,,,79,20,25%,62.98%,227
ilr fees,,,,,79,20,25%,62.98%,789
migrants,,,,,79,20,25%,62.98%,1017
rabbit,,,,,52,3,6%,62.98%,145
further actions,,,,,52,3,6%,62.98%,288
link gov,,,,,52,3,6%,62.98%,716
sgo,,,,,52,3,6%,62.98%,1108
tax statement,guidance/annual-tax-summary,3 perfect,3,,198,95,48%,62.98%,4
advice,,,,,98,32,33%,62.98%,836
get,,,,,71,15,21%,62.98%,922
competition,,,,,144,61,42%,62.98%,299
cap,,,,,117,44,38%,62.98%,681
change bank,,,,,90,27,30%,62.98%,383
paye contact number,,,,,90,27,30%,62.98%,868
bradford,,,,,90,27,30%,62.98%,1210
short,,,,,63,10,16%,62.98%,98
cafe,,,,,63,10,16%,62.98%,165
intangible,,,,,63,10,16%,62.98%,597
ilr form,,,,,63,10,16%,62.98%,789
harassment,,,,,182,85,47%,62.98%,324
share certificate,,,,,55,5,9%,62.98%,386
sla,,,,,55,5,9%,62.98%,811
mps,,,,,55,5,9%,62.98%,1115
mr t miller v isle of wight council,,,,,55,5,9%,62.98%,1479
resources,,,,,74,17,23%,62.98%,237
make an account,,,,,74,17,23%,62.98%,917
green card,,,,,147,63,43%,62.98%,429
tax cide,/tax-codes,3 perfect,3,,66,12,18%,62.98%,6
healthcare workers,,,,,85,24,28%,62.98%,183
check my passport,,,,,85,24,28%,62.98%,764
foster carer,,,,,158,70,44%,62.98%,105
licencing,,,,,58,7,12%,62.98%,796
exemptions,,,,,204,99,49%,62.98%,798
self certification sickness form,/taking-sick-leave,3 perfect,3,,77,19,25%,62.98%,194
citizens card,,,,,77,19,25%,62.98%,431
elf bar,,,,,50,2,4%,62.98%,169
customer care,,,,,50,2,4%,62.98%,188
act awareness,,,,,50,2,4%,62.98%,342
lost ni,/lost-national-insurance-number,3 perfect,3,,50,2,4%,62.98%,468
dead,,,,,50,2,4%,62.98%,554
giving notice,,,,,50,2,4%,62.98%,843
do,,,,,50,2,4%,62.98%,893
ma,,,,,50,2,4%,62.98%,1102
ind,,,,,50,2,4%,62.98%,1126
fta,,,,,50,2,4%,62.98%,1131
правительство,,,,,50,2,4%,62.98%,1253
6 problems with running payroll,,,,,50,2,4%,62.98%,1381
aps,,,,,50,2,4%,62.98%,1448
date,,,,,123,48,39%,62.98%,321
manage your application,,,,,69,14,20%,62.98%,225
set,,,,,69,14,20%,62.98%,885
space,,,,,107,38,36%,62.98%,616
mobility scheme,,,,,180,84,47%,62.98%,401
consultant,,,,,80,21,26%,62.98%,50
how to get an authorisation code self assessment income tax,/guidance/how-to-get-an-agent-code-for-corporation-tax-or-self-assessment,3 perfect,3,,53,4,8%,62.98%,12
prevent awareness,,,,,53,4,8%,62.98%,72
is there a limit on money gifts,,,,,53,4,8%,62.98%,433
leaver,,,,,53,4,8%,62.98%,543
pm tax return,,,,,53,4,8%,62.98%,983
mental health,,,,,99,33,33%,62.98%,185
probation period,,,,,91,28,31%,62.98%,95
inf4d,,,,,64,11,17%,62.98%,1254
rape,,,,,110,40,36%,62.98%,337
mini bus,,,,,156,69,44%,62.98%,491
persona,,,,,56,6,11%,62.98%,79
application progress,,,,,56,6,11%,62.98%,225
change of bank account,,,,,75,18,24%,62.98%,383
fashion,,,,,75,18,24%,62.98%,1199
impact assessment,,,,,121,47,39%,62.98%,227
psi,,,,,167,76,46%,62.98%,689
my visa,,,,,167,76,46%,62.98%,704
travel history,,,,,67,13,19%,62.98%,781
credit report,,,,,67,13,19%,62.98%,835
royal air force,,,,,113,42,37%,62.98%,630
care review,,,,,86,25,29%,62.98%,188
notice of appeal form,,,,,86,25,29%,62.98%,204
application reference,,,,,86,25,29%,62.98%,225
surname,,,,,59,8,14%,62.98%,806
e learning,,,,,59,8,14%,62.98%,1457
registered,,,,,132,54,41%,62.98%,794
new tax year,/income-tax-rates,1 okay,1,,105,37,35%,62.98%,14
send details to support your vat reclaim,,,,,105,37,35%,62.98%,756
teacher assistant,,,,,78,20,26%,62.98%,49
tier 2 sponsor list,,,,,151,66,44%,62.98%,957
has,,,,,51,3,6%,62.98%,102
crises loan,,,,,51,3,6%,62.98%,460
air bnb,,,,,51,3,6%,62.98%,631
gymshark,,,,,51,3,6%,62.98%,1251
rendez-vous,,,,,51,3,6%,62.98%,1254
16,,,,,124,49,40%,62.98%,953
signature,,,,,97,32,33%,62.98%,592
pension tracking service,,,,,189,90,48%,62.98%,598
human security,,,,,62,10,16%,62.98%,26
what benefits of free to apply,,,,,62,10,16%,62.98%,904
conditions,,,,,81,22,27%,62.98%,233
carehome,,,,,81,22,27%,62.98%,598
domestic rateable value,,,,,54,5,9%,62.98%,395
truck,,,,,54,5,9%,62.98%,479
apply euss,,,,,54,5,9%,62.98%,793
15 minutes city,,,,,54,5,9%,62.98%,972
nca,,,,,100,34,34%,62.98%,1079
nottingham city council,,,,,73,17,23%,62.98%,306
tattoo,,,,,146,63,43%,62.98%,1319
sw9,,,,,65,12,18%,62.98%,827
cancel sorn,,,,,84,24,29%,62.98%,547
bsp,,,,,84,24,29%,62.98%,1203
pre payment certificate,,,,,103,36,35%,62.98%,244
track your application,,,,,195,94,48%,62.98%,603
general enquiries,,,,,168,77,46%,62.98%,325
reception,,,,,68,14,21%,62.98%,297
report a company,,,,,68,14,21%,62.98%,423
t4,,,,,79,21,27%,62.98%,1078
sign in to my application,/sign-in-visa,3 perfect,3,,52,4,8%,62.98%,225
my lost account,,,,,52,4,8%,62.98%,769
vt,,,,,52,4,8%,62.98%,1169
north ireland,,,,,52,4,8%,62.98%,1204
delay,,,,,98,33,34%,62.98%,446
add tax,/browse/tax,1 okay,1,,71,16,23%,62.98%,1
skip,,,,,71,16,23%,62.98%,1318
ons,,,,,144,62,43%,62.98%,1307
sex,,,,,163,74,45%,62.98%,1063
estate agent,,,,,63,11,17%,62.98%,46
difficulties paying hrmc,/difficulties-paying-hmrc,3 perfect,3,,109,40,37%,62.98%,437
dogs in cars,,,,,109,40,37%,62.98%,473
personal tax account pay as you earn,/income-tax/how-you-pay-income-tax,3 perfect,3,,82,23,28%,62.98%,12
personal tax account pay as you earn,/personal-tax-account,2 good,2,,82,23,28%,62.98%,12
kent,,,,,82,23,28%,62.98%,1263
you,,,,,55,6,11%,62.98%,941
plf,,,,,128,52,41%,62.98%,1232
early years training,,,,,74,18,24%,62.98%,94
road fund,,,,,74,18,24%,62.98%,372
employment history letter,,,,,166,76,46%,62.98%,280
collections,,,,,66,13,20%,62.98%,823
enhanced,,,,,112,42,38%,62.98%,592
apply for vat group treatment,,,,,85,25,29%,62.98%,617
how to log in,,,,,85,25,29%,62.98%,748
open account,,,,,58,8,14%,62.98%,420
car tax cost,/vehicle-tax-rate-tables,3 perfect,3,,131,54,41%,62.98%,16
tax letter,/tax-overpayments-and-underpayments,2 good,2,,104,37,36%,62.98%,18
change of vehicle ownership,,,,,104,37,36%,62.98%,480
telephone hmrc,,,,,104,37,36%,62.98%,507
name,,,,,177,83,47%,62.98%,809
council tax payments,/pay-council-tax,3 perfect,3,,77,20,26%,62.98%,17
lung cancer,,,,,77,20,26%,62.98%,121
book covid booster,,,,,77,20,26%,62.98%,814
enhanced board security agreements,,,,,50,3,6%,62.98%,209
space saver,,,,,50,3,6%,62.98%,616
one stop,,,,,50,3,6%,62.98%,935
maria cunningham solihull,,,,,50,3,6%,62.98%,1252
atlas,,,,,50,3,6%,62.98%,1319
univerzál credit,,,,,69,15,22%,62.98%,461
track my visa application,,,,,69,15,22%,62.98%,702
conjunctivitis,,,,,115,44,38%,62.98%,122
speed awareness course,,,,,188,90,48%,62.98%,72
cruise,,,,,61,10,16%,62.98%,498
wipes,,,,,61,10,16%,62.98%,518
paramedic,,,,,80,22,28%,62.98%,508
ni contrbutions,/check-national-insurance-record,3 perfect,3,,53,5,9%,62.98%,465
mci error,,,,,53,5,9%,62.98%,745
french,,,,,53,5,9%,62.98%,1012
rod tax,/vehicle-tax,3 perfect,3,,126,51,40%,62.98%,2
prostate cancer,,,,,72,17,24%,62.98%,121
ltr,,,,,72,17,24%,62.98%,1116
indo-pacific,,,,,72,17,24%,62.98%,1251
person,,,,,145,63,43%,62.98%,79
universal credit number,,,,,145,63,43%,62.98%,461
activation key,,,,,91,29,32%,62.98%,276
open banking,,,,,91,29,32%,62.98%,420
telephone number for hmrc,,,,,91,29,32%,62.98%,506
co2,,,,,164,75,46%,62.98%,1437
sea,,,,,64,12,19%,62.98%,633
secondment,,,,,110,41,37%,62.98%,210
licenced sponsors,,,,,110,41,37%,62.98%,795
pay your coporation tax bill,/pay-corporation-tax,3 perfect,3,,56,7,13%,62.98%,8
call for bids,,,,,56,7,13%,62.98%,866
sewage,,,,,102,36,35%,62.98%,520
ni apply,/apply-national-insurance-number,3 perfect,3,,75,19,25%,62.98%,464
q,,,,,75,19,25%,62.98%,541
unpaid leave,,,,,148,65,44%,62.98%,776
ev charging,,,,,121,48,40%,62.98%,1403
t5,,,,,194,94,48%,62.98%,700
section 3,,,,,67,14,21%,62.98%,963
universal crédito,,,,,67,14,21%,62.98%,1310
child development,,,,,86,26,30%,62.98%,104
gypsy,,,,,86,26,30%,62.98%,1290
proof of funds,,,,,159,72,45%,62.98%,373
ibuprofen,,,,,59,9,15%,62.98%,130
ni number apply,/apply-national-insurance-number,3 perfect,3,,59,9,15%,62.98%,466
log into account,,,,,78,21,27%,62.98%,736
skilled boot camp,/guidance/find-a-skills-bootcamp,3 perfect,3,,51,4,8%,62.98%,664
intelligence update,,,,,51,4,8%,62.98%,739
imigração,,,,,51,4,8%,62.98%,1350
pip benefits,,,,,124,50,40%,62.98%,248
marriage allowance refund,/marriage-allowance,3 perfect,3,,70,16,23%,62.98%,449
doctors,https://www.nhs.uk/service-search,2 good,2,,116,45,39%,62.98%,110
pharmacovigilance,,,,,189,91,48%,62.98%,130
riddor,,,,,89,28,31%,62.98%,1255
datasets,,,,,62,11,18%,62.98%,751
ccg,,,,,62,11,18%,62.98%,1246
caversham primary school,,,,,62,11,18%,62.98%,1339
autonomous vehicles,,,,,54,6,11%,62.98%,481
uc 50 form,,,,,54,6,11%,62.98%,948
majorca,,,,,54,6,11%,62.98%,1259
natwest,,,,,54,6,11%,62.98%,1364
b1 test booking,,,,,54,6,11%,62.98%,1376
implant,,,,,100,35,35%,62.98%,112
standards,,,,,100,35,35%,62.98%,230
school transfer,/government/collections/school-organisation,0 bad,0,,73,18,25%,62.98%,22
school transfer,/schools-admissions,2 good,2,,73,18,25%,62.98%,22
local authority housing fund,,,,,65,13,20%,62.98%,305
db,,,,,65,13,20%,62.98%,1389
brake test procedure,,,,,138,59,43%,62.98%,243
first aid,,,,,184,88,48%,62.98%,376
email adress,,,,,57,8,14%,62.98%,733
ahwr,,,,,57,8,14%,62.98%,1351
decision,,,,,203,100,49%,62.98%,287
tax credits over payment,/tax-credits-overpayments,3 perfect,3,,76,20,26%,62.98%,10
training provider,,,,,76,20,26%,62.98%,32
british gas,,,,,76,20,26%,62.98%,625
demande de visa,,,,,76,20,26%,62.98%,977
warrant,,,,,195,95,49%,62.98%,1046
cigarette,,,,,95,32,34%,62.98%,135
government of the russian federation,/world/russia/news,2 good,2,,95,32,34%,62.98%,310
math,,,,,68,15,22%,62.98%,40
contract hmrc,,,,,68,15,22%,62.98%,1032
cardiff,,,,,68,15,22%,62.98%,1324
licences,,,,,141,61,43%,62.98%,797
eating disorder,,,,,87,27,31%,62.98%,126
excise duty,,,,,87,27,31%,62.98%,335
pension update,,,,,106,39,37%,62.98%,739
car parking,,,,,79,22,28%,62.98%,471
madalin feraru,,,,,152,68,45%,62.98%,1254
termin,,,,,52,5,10%,62.98%,821
telephone number,,,,,52,5,10%,62.98%,862
ni letter,/national-insurance,3 perfect,3,,125,51,41%,62.98%,465
infection,,,,,98,34,35%,62.98%,783
critical skills list,,,,,71,17,24%,62.98%,75
employment allowance further guidance,,,,,71,17,24%,62.98%,268
fibromyalgia,,,,,144,63,44%,62.98%,122
africa,,,,,117,46,39%,62.98%,1014
hold luggage,,,,,90,29,32%,62.98%,546
frs,,,,,63,12,19%,62.98%,1379
check my insurance,,,,,82,24,29%,62.98%,764
security check,,,,,82,24,29%,62.98%,764
duel purpose,,,,,155,70,45%,62.98%,590
priority control pollutants,,,,,55,7,13%,62.98%,209
my esa claim,,,,,55,7,13%,62.98%,329
my payment,,,,,55,7,13%,62.98%,456
stock,,,,,101,36,36%,62.98%,426
gov uk id check,,,,,101,36,36%,62.98%,1452
severance pay,,,,,74,19,26%,62.98%,699
vat 1 form,,,,,74,19,26%,62.98%,960
nhs refund,,,,,120,48,40%,62.98%,586
air pollution,,,,,193,94,49%,62.98%,630
care jobs with sponsorship,,,,,93,31,33%,62.98%,69
home office email,,,,,66,14,21%,62.98%,158
onshore wind,,,,,66,14,21%,62.98%,525
working rights,,,,,58,9,16%,62.98%,353
"evidence that your sponsor is not, or will not be, in breach of uk immigration laws at the time of y",,,,,58,9,16%,62.98%,368
report driver,,,,,58,9,16%,62.98%,478
data quality,,,,,58,9,16%,62.98%,721
forbidden playground,,,,,58,9,16%,62.98%,1252
primary schools,/apply-for-primary-school-place,2 good,2,,131,55,42%,62.98%,22
my pensions,,,,,150,67,45%,62.98%,271
cancelling child benefit,,,,,50,4,8%,62.98%,104
trace,,,,,50,4,8%,62.98%,604
bike tax,/vehicle-tax,3 perfect,3,,169,79,47%,62.98%,16
check visa application status,,,,,115,45,39%,62.98%,708
tax clearance certificate,/guidance/seeking-clearance-or-approval-for-a-transaction,3 perfect,3,,88,28,32%,62.98%,10
crisis,,,,,107,40,37%,62.98%,787
prudential regulation authority (solvency ii) insurance,,,,,80,23,29%,62.98%,268
ihs fee refund,,,,,80,23,29%,62.98%,452
probate log in,,,,,80,23,29%,62.98%,747
manchester united,,,,,80,23,29%,62.98%,1207
vx,,,,,80,23,29%,62.98%,1447
tax on uk income,/income-tax,3 perfect,3,,53,6,11%,62.98%,5
child development training,,,,,53,6,11%,62.98%,104
defence discount card,,,,,53,6,11%,62.98%,431
franchise,,,,,99,35,35%,62.98%,1310
tax office address,/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees,2 good,2,,72,18,25%,62.98%,18
tax office address,/contact-hmrc,2 good,2,,72,18,25%,62.98%,18
lottery visa,,,,,191,93,49%,62.98%,705
security guard,,,,,91,30,33%,62.98%,315
sleep apnea,,,,,110,42,38%,62.98%,123
cds statement,,,,,83,25,30%,62.98%,54
mental health policy,,,,,83,25,30%,62.98%,182
road fund licence,,,,,156,71,46%,62.98%,372
financial statements,,,,,56,8,14%,62.98%,274
head,,,,,56,8,14%,62.98%,565
civil service pension,,,,,175,83,47%,62.98%,271
writing,,,,,75,20,27%,62.98%,39
start,,,,,121,49,40%,62.98%,936
meeting,,,,,67,15,22%,62.98%,296
18,,,,,67,15,22%,62.98%,954
nt,,,,,67,15,22%,62.98%,1112
goverment,,,,,140,61,44%,62.98%,209
case law,,,,,59,10,17%,62.98%,261
smpc,,,,,59,10,17%,62.98%,531
suicide,,,,,178,85,48%,62.98%,337
dip,,,,,51,5,10%,62.98%,680
stevenage,,,,,51,5,10%,62.98%,1253
ey2 form,,,,,97,34,35%,62.98%,207
tier4,,,,,70,17,24%,62.98%,1370
online assistance,,,,,62,12,19%,62.98%,378
marriage rebate,/marriage-allowance,3 perfect,3,,62,12,19%,62.98%,449
text,,,,,62,12,19%,62.98%,810
pscs,,,,,62,12,19%,62.98%,1284
discretionary fund,,,,,208,104,50%,62.98%,373
p11,,,,,208,104,50%,62.98%,624
find a school,,,,,108,41,38%,62.98%,916
museum,,,,,81,24,30%,62.98%,822
solas,,,,,81,24,30%,62.98%,1158
missing ni,/check-national-insurance-record,3 perfect,3,,54,7,13%,62.98%,465
deregistration,,,,,127,53,42%,62.98%,226
work coach,,,,,73,19,26%,62.98%,48
severance,,,,,73,19,26%,62.98%,72
car tac,,,,,73,19,26%,62.98%,472
employees,,,,,119,48,40%,62.98%,264
borrow money,,,,,138,60,43%,62.98%,433
staff nurse,,,,,57,9,16%,62.98%,110
information sharing for victims,,,,,57,9,16%,62.98%,268
apply for a replacement,,,,,57,9,16%,62.98%,793
companies with visa sponsorship,,,,,103,38,37%,62.98%,707
video,,,,,176,84,48%,62.98%,878
road tax cost,/vehicle-tax-rate-tables,3 perfect,3,,76,21,28%,62.98%,15
tnt,,,,,76,21,28%,62.98%,1129
inquiry,,,,,141,62,44%,62.98%,838
voucher,,,,,187,91,49%,62.98%,443
vulnerable,,,,,87,28,32%,62.98%,529
solar power,,,,,87,28,32%,62.98%,588
family passport,,,,,87,28,32%,62.98%,1019
working time regulations,,,,,160,74,46%,62.98%,89
dentistry,,,,,60,11,18%,62.98%,111
electrical engineering,,,,,60,11,18%,62.98%,605
change personal information,,,,,60,11,18%,62.98%,805
jobs for foreigners,,,,,79,23,29%,62.98%,179
live in uk,,,,,79,23,29%,62.98%,869
form finder,,,,,52,6,12%,62.98%,207
capita,,,,,52,6,12%,62.98%,281
civil servant,,,,,52,6,12%,62.98%,313
send email,/contact-hmrc,2 good,2,,52,6,12%,62.98%,731
cancel driving licence,,,,,52,6,12%,62.98%,796
