query,link,score_description,score,,In Search API?,query translated,Page title,Page title translated by Google Translate,Page views (7 days)
,/anghytuno-phenderfyniad-treth/oedi-cyn-talu-tran-apelio,,,,no,,Oedi cyn talu wrth apelio,Delay Payment Payment,
,/cynhaliaeth-plant-os-ywr-rhiant-yn-byw-dramor/rhiant-arall-yn-byw-dramor,,,,no,,Os yw’r rhiant arall yn byw dramor,If the other parent lives abroad,
,/lwfans-ceisio-gwaith/gwneud-cais-am-lwfans-ceisio-gwaith-jsa-dull-newydd,,,,no,,Gwneud cais am Lwfans Ceisio Gwaith (JSA) Dull Newydd,Apply for Jobseeker's Allowance (JSA) New Method,
,/tal-absenoldeb-mamolaeth/cymhwystra,,,,no,,Cymhwystra,Eligibility,
,/treth-enillion-cyfalaf/rhoi-gwybod-am-dreth-enillion-cyfalaf-a-i-thalu,,,,no,,Rhoi gwybod am Dreth Enillion Cyfalaf a’i thalu,Report and pay capital earnings tax,
,/credyd-cynhwysol/newid-mewn-amgylchiadau,,,,no,,Rhoi gwybod am newid mewn amgylchiadau,Report a change in circumstances,
,/gwarchod-eich-tir-ach-eiddo-rhag-twyll,,,,no,,Gwarchod eich tir a'ch eiddo rhag twyll,Protect your land and property from fraud,
,/talu-psa,,,,no,,Talu Cytundeb Setliad TWE,Paying TWE Settlement Agreement,
,/guirio-tollau-datganiad,,,,no,,Gwirio a oes angen i chi ddatgan nwyddau rydych yn dod â nhw i mewn i’r DU neu’n mynd â nhw allan ohoni,Check if you need to declare goods you bring into or take them out of the UK,
,/lwfans-rhaint-gweddw,,,,no,,Lwfans Rhiant Gweddw,Widow's parent's allowance,
,/ymweliad-dwp,,,,yes,#VALUE!,Apwyntiad i wirio'ch taliad budd-dal,Appointment to check your benefit payment,
,/cyfnewid-trwydded-yrru-bapur,,,,no,,Cyfnewid eich trwydded yrru bapur am drwydded cerdyn-llun,Exchange your Paper Driver's License for a MONE CARD LICENSE,
,/gwirio-hgv-ffin,,,,no,,Gwirio bod HGV yn barod i groesi'r ffin (Trwyddedau Mynediad i Gaint),Check that HGV is ready to cross the border (access to Kent access),
,/budd-dal-ar-gyfer-plant-ysbyty-neu-mewn-gofal,,,,no,,Budd-dal Plant ar gyfer plant sydd yn yr ysbyty neu mewn gofal,Child Benefit for children who are in hospital or in care,
,/lwfans-byw-ir-anabl-i-blant/newidiadau-y-mae-angen-i-chi-roi-gwybod-amdanynt,,,,no,,Newidiadau y mae angen i chi roi gwybod amdanynt,Changes you need to report,
,/olrhain-cais-eich-trwydded-yrru/trwyddedau-gyrru-llawn-dros-dro,,,,no,,Ceisiadau am drwydded yrru lawn a dros dro,Applications for a full and temporary driving license,
,/pensiwn-y-wladwriaeth-newydd/sut-maen-cael-ei-gyfrifo,,,,no,,Sut mae'n cael ei gyfrifo,How is it calculated,
,/dyletswyddau-atwrneiaeth-barhaus/mwy-o-atwrneiod,,,,no,,Pan fydd mwy nag un atwrnai,When more than one attorney,
,/sut-i-bleidleisio/prawf-adnabod-ffotograffig-angenrheidiol,,,,no,,Prawf adnabod ffotograffig angenrheidiol,Necessary photographic identification test,
,/newid-dosbarth-treth-cerbyd/newidiadau-i-gerbydau-syn-effeithio-ar-dreth,,,,no,,Newidiadau i gerbydau sy'n effeithio ar dreth,Changes to vehicles affecting tax,
,/budd-dal-anabledd-anafiadau-diwydiannol/trosolwg,,,,no,,Trosolwg,overview,
,/hawlio-budd-daliadau-os-ydych-yn-byw-symud-teithio-dramor/budd-daliadau-mamolaeth-a-gofal-plant,,,,no,,Budd-daliadau mamolaeth a gofal plant,Maternity and childcare benefits,
,/rhoi-gwybod-am-eich-treth-enillion-cyfalaf-a-i-thalu/os-gwnaethoch-werthu-eiddo-yn-y-du-ar-neu-ar-l-6-ebrill-2020,,,,no,,Os gwnaethoch werthu eiddo yn y DU ar neu ar ôl 6 Ebrill 2020,If you sold property in the UK on or after 6 April 2020,
,/talu-yswiriant-gwladol-dosbarth-2/drwyr-post,,,,no,,Talu â siec drwy’r post,Pay by Postal Check,
,/cofrestru-ar-gyfer-a-chyflwynoch-ffurflen-dreth-hunanasesiad/trosolwg,,,,no,,Trosolwg,overview,
,/talu-cosb-am-gyflwyno-n-hwyr-ar-gyfer-cynllun-y-diwydiant-adeiladu-cis/debyd-uniongyrchol,,,,no,,Debyd Uniongyrchol,Direct Debit,
,/cymorth-ar-gyfer-llog-morgais/sut-i-wneud-cais,,,,no,,Sut i wneud cais,How to apply,
,/gwrthwynebu-cofrestru-atwrneiaeth-arhosol/atwrneiaeth-arhosol,,,,no,,Atwrneiaeth arhosol,Lasting Power of Attorney,
,/dweud-wrth-dvla-am-brofedigaeth/cadwr-cerbyd,,,,no,,Cadw cerbyd,Keep a vehicle,
,/prisio-ystad-rhywun-sydd-wedi-marw/trosolwg,,,,no,,Yr hyn y mae angen i chi ei wneud,What you need to do,
,/yswiriant-gwladol/newid-mewn-amgylchiadau,,,,no,,Newid mewn amgylchiadau,Change in circumstances,
,/talu-treth-etifeddiant/manylion-banc-ar-gyfer-bancio-ar-lein-neu-dros-y-ffon-chaps-bacs,,,,no,,Gwneud trosglwyddiad banc ar-lein neu dros y ffôn,Make a bank transfer online or by phone,
,/cynhaliaeth-plant-os-ywr-rhiant-yn-byw-dramor/rydych-yn-byw-dramor,,,,no,,Os ydych yn byw dramor,If you live abroad,
,/sut-i-ddatrys-anghydfod-rhwng-cymdogion/cwyno-am-sn-ir-cyngor,,,,no,,Cwyno am sŵn i’r cyngor,Complain about noise to the council,
,/talu-treth-twe/cymeradwyo-taliad-gan-ddefnyddioch-cyfrif-banc-arlein,,,,no,,Cymeradwyo taliad gan ddefnyddio’ch cyfrif banc ar-lein,Approve payment using your online bank account,
,/toll-peiriannau-hapchwarae/cofrestru,,,,no,,Cofrestru,Register,
,/cyflogwyr-tal-absenoldeb-mamolaeth/help-gyda-thl-statudol,,,,no,,Help gyda thâl statudol,Help with statutory pay,
,/taluch-bil-treth-hunanasesiad/Talu-a-siec-drwyr-post,,,,no,,Talu â siec drwy’r post,Pay by Postal Check,
,/sut-mae-taw-yn-gweithio/trosolwg,,,,no,,Trosolwg,overview,
,/helpu-rhywun-gydai-gais-am-fudd-dal/cael-cyngor-a-gwybodaeth-am-gais-rhywun,,,,no,,Cael cyngor a gwybodaeth am gais rhywun,Get advice and information about someone's request,
,/rhywun-yn-mynd-a-chi-i-dribiwnlys-cyflogaeth/os-byddwch-yn-collir-achos,,,,no,,Os byddwch yn colli’r achos,If you lose the case,
,/treth-enillion-cyfalaf/gwerth-marchnadol,,,,no,,Gwerth marchnadol,Market Value,
,/tal-treth-budd-dal-plant/dod-ch-budddal-plant-i-ben,,,,no,,Optio allan o gael taliadau Budd-dal Plant,Opt out of getting child benefit payments,
,/hawlio-budd-daliadau-os-ydych-yn-byw-symud-teithio-dramor/taliadau-tanwydd-gaeaf,,,,no,,Taliadau Tanwydd Gaeaf,Winter Fuel Payments,
,/cerbydau-sydd-wediu-sgrapio-au-diddymu/ble-y-gellir-sgrapio-cerbydau,,,,no,,Ble y gallwch chi sgrapio eich cerbyd,Where can you scrap your vehicle,
,/lwfans-gweini/sut-i-wneud-cais,,,,no,,Sut i wneud cais,How to apply,
,/talu-yswiriant-gwladol-dosbarth-2/manylion-banc,,,,no,,Gwneud trosglwyddiad banc ar-lein neu dros y ffôn,Make a bank transfer online or by phone,
,/talu-yswiriant-gwladol-dosbarth-1a/banc-neu-gymdeithas-adeiladu,,,,no,,Yn eich banc neu’ch cymdeithas adeiladu,In your bank or building society,
,/treth-ar-ddifidendau/treth-ar-ddifidendau-cyn-6-ebrill-2016,,,,no,,Treth ar ddifidendau cyn 6 Ebrill 2016,Tax on dividends before 6 April 2016,
,/talu-treth-gorfforaeth/yn-eich-banc-neuch-cymdeithas-adeiladu,,,,no,,Yn eich banc neu’ch cymdeithas adeiladu,In your bank or building society,
,/talu-psa/siec-drwyr-post,,,,no,,Talu â siec drwy’r post,Pay by Postal Check,
,/cymryd-cerbydau-y-tu-allan-ir-du/am-12-mis-neu-fwy,,,,no,,Am 12 mis neu fwy,For 12 months or more,
,/cyflyrau-iechyd-anabledd-credyd-cynhwysol/os-ydych-angen-asesiad-gallu-i-weithio,,,,no,,Os ydych angen Asesiad Gallu i Weithio,If you need a work capacity assessment,
,/tal-absenoldeb-tadolaeth/trosolwg,,,,no,,Trosolwg,overview,
,/gwneud-cais-am-rif-yswiriant-gwladol/sut-i-wneud-cais,,,,no,,Sut i wneud cais,How to apply,
,/cael-gwybodaeth-am-eiddo-a-thir/cael-copi-or-gweithredoedd,,,,no,,Cael copi o’r gweithredoedd,Have a copy of the deeds,
,/ymddiriedolaethau-trethi/ymddiriedolaethau-a-threth-etifeddiant,,,,no,,Ymddiriedolaethau a Threth Etifeddiant,Trusts and inheritance tax,
,/talu-treth-etifeddiant/banc-neu-gymdeithas-adeiladu,,,,no,,Yn eich banc neu’ch cymdeithas adeiladu,In your bank or building society,
,/help-gyda-symud-o-fudd-daliadau-i-waith/dechrau-neu-redeg-busnes-eich-hun,,,,no,,Dechrau neu redeg busnes eich hun,Start or run your own business,
,/cydberchnogaeth/trosolwg,,,,no,,Trosolwg,overview,
,/codau-treth/pam-mae-cod-treth-yn-newid,,,,no,,Pam y gallai’ch cod treth newid,Why your tax code could change,
,/cyflogwyr-tal-absenoldeb-tadolaeth/help-gyda-thl-statudol,,,,no,,Help gyda thâl statudol,Help with statutory pay,
,/taluch-bil-treth-hunanasesiad/drwych-cod-treth,,,,no,,Drwy'ch cod treth,By your tax code,
,/done/gweld-atwrneiaeth-arhosol,,,,no,,Rhowch adborth ar Gweld atwrneiaeth arhosol,Give feedback on viewing lasting power of attorney,
,/done/cymryd-rhif-cofrestru-preifat-oddi-ar-gerbyd,,,,no,,Rhowch adborth ar Cymryd rhif cofrestru preifat oddi ar gerbyd,Give feedback on taking a private registration number off a vehicle,
,/asesiad-syml,,,,no,,Talu’ch bil treth Asesiad Syml,Paying your simple assessment tax bill,
,/ymweliadau-cefnogol-wneud-cais-fudd-daliadau,,,,no,,Ymweliadau cefnogol os ydych angen help i wneud cais am fudd-daliadau,Supportive Visits If you need help applying for benefits,
,/sut-maer-gwasanaeth-cynhaliaeth-plant-cyfrifo,,,,yes,#VALUE!,Sut mae’r Gwasanaeth Cynhaliaeth Plant yn cyfrifo cynhaliaeth plant,How does the Child Maintenance Service calculate child maintenance,
,/defnyddio-neu-ganslo-atwrneiaeth-barhaus,,,,no,,Defnyddio neu ganslo atwrneiaeth barhaus,Use or cancel an ongoing power of attorney,
,/ad-daliad-dirprwyaeth,,,,no,,Hawlio ad-daliad ffi dirprwyaeth,Claim a delegation fee refund,
,/talu-dirwy-ymylffordd-dvsa,,,,no,,Talu dirwy ymyl ffordd DVSA,Pay DVSA road edge,
,/taluch-bil-treth-hunanasesiad/talu-wythnosol-neun-fisol,,,,no,,Talu’n wythnosol neu’n fisol,Pay weekly or monthly,
,/talu-toll-peiriannau-hapchwarae/banc-neu-gymdeithas-adeiladu,,,,no,,Yn eich banc neu’ch cymdeithas adeiladu,In your bank or building society,
,/sut-i-bleidleisio/pleidleisio-yn-bersonol,,,,no,,Pleidleisio yn bersonol,Personal Voting,
,/ffurflenni-taw/trosolwg,,,,no,,Trosolwg,overview,
,/dod-a-phartneriaeth-sifil-i-ben/sut-i-wneud-cais,,,,no,,Sut i wneud cais,How to apply,
,/talu-yswiriant-gwladol-dosbarth-2/debyd-uniongyrchol,,,,no,,Debyd Uniongyrchol,Direct Debit,
,/cofrestru-ar-gyfer-a-chyflwynoch-ffurflen-dreth-hunanasesiad/partner-neu-bartneriaeth,,,,no,,Cofrestru os ydych yn bartner neu’n bartneriaeth,Register if you are a partner or partnership,
,/cerbydau-sydd-wediu-sgrapio-au-diddymu/cerbydau-sydd-wediu-diddymu-gan-gwmni-yswiriant,,,,no,,Cerbydau sydd wedi’u datgan fel anadferadwy gan gwmni yswiriant,Vehicles declared as irreversible by insurance company,
,/beth-iw-wneud-os-ywch-cerbyd-wedi-cael-ei-ddwyn/rhoi-gwybod-ir-heddlu-cwmni-yswiriant,,,,no,,Riportio bod eich cerbyd wedi cael ei ddwyn,Report that your vehicle has been stolen,
,/atal-cais-am-brofiant/ymateb-i-her-yn-erbyn-eich-cais-am-brofiant,,,,no,,Ymateb i her yn erbyn eich cais am brofiant,Respond to a challenge against your probate request,
,/grant-mamolaeth-cychwyn-cadarn/cymhwyster,,,,no,,Cymhwyster,Qualification,
,/prisio-ystad-rhywun-sydd-wedi-marw/nodi-asedion-dyledion,,,,no,,Nodi asedion a dyledion,Identify assets and debts,
,/cael-gwybodaeth-am-eiddo-a-thir/trosolwg,,,,no,,Trosolwg,overview,
,/absenoldeb-a-thal-ar-y-cyd-i-rieni-canllaw-i-gyflogwyr/hawl,,,,no,,Hawl,Right,
,/dweud-wrth-dvla-am-brofedigaeth/gwerthur-cerbyd,,,,no,,Gwerthu cerbyd,A vehicle's sale,
,/sut-i-bleidleisio/pleidleisio-ar-coronafeirws,,,,no,,Pleidleisio a'r coronafeirws (COVID-19),Voting and the coronafeirus (Covid-19),
,/budd-dal-tai/rhoi-gwybod-am-newid-mewn-amgylchiadau,,,,no,,Rhoi gwybod am newid mewn amgylchiadau,Report a change in circumstances,
,/toll-peiriannau-hapchwarae/faint-rydych-yn-ei-dalu,,,,no,,Faint rydych yn ei dalu,How much you pay,
,/help-gyda-symud-o-fudd-daliadau-i-waith/help-i-rieni-a-gofalwyr,,,,no,,Help i rieni a gofalwyr,Help for parents and carers,
,/cofrestru-ar-gyfer-taw/cofrestru-taw-gwledydd-ue,,,,no,,Cofrestru ar gyfer TAW yng ngwledydd yr UE,Register for VAT in EU countries,
,/atwrneiaeth/newid-eich-atwrneiaeth-arhosol,,,,no,,Newid eich atwrneiod,Change your attorneys,
,/lwfans-ceisio-gwaith/eich-cais-jsa,,,,no,,Eich cais JSA,Your JSA Request,
,/budd-dal-plant-plentyn-byw-gyda-rhywun-arall/awdurdodiad,,,,no,,Awdurdodiad,Authorization,
,/elusennau-a-threth/rhyddhad-treth,,,,no,,Rhyddhad treth ar gyfer elusennau,Tax relief for charities,
,/anfon-ffurflen-taw/ffurflenni-taw-a-thaliad-hwyr,,,,no,,Ffurflenni TAW a thaliadau hwyr,VAT Forms and Late Payments,
,/hawlio-budd-daliadau-os-ydych-yn-byw-symud-teithio-dramor/budd-daliadau-salwch-ac-anaf,,,,no,,Budd-daliadau salwch ac anaf,Sickness and Injury Benefits,
,/debyd-uniongyrchol-treth-cerbyd/taliad-yn-methu,,,,no,,Os bydd Debyd Uniongyrchol yn methu,If direct debit fails,
,/taliad-cymorth-profedigaeth/cymhwyster,,,,no,,Cymhwyster,Qualification,
,/tal-ac-absenoldeb-mabwysiadu-statudol-arweiniad-i-gyflogwyr/cofnodion,,,,no,,Cadw cofnodion,Keep a record,
,/sut-i-ddatrys-anghydfod-rhwng-cymdogion/defnyddio-gwasanaeth-cyfryngu,,,,no,,Defnyddio gwasanaeth cyfryngu,Use of Mediation Service,
,/newid-dosbarth-treth-cerbyd/treth-ar-fin-dod-i-ben-neun-newid-os-yw-cerbyd-wedii-eithrio,,,,no,,Y dreth ar fin dod i ben neu mae pwrpas neu ddyluniad y cerbyd wedi newid,The tax is on the end or the purpose or design of the vehicle has changed,
,/cyfrif-cynilo-unigol/etifeddu-isa-gan-eich-priod-neu-bartner-sifil,,,,no,,Etifeddu ISA gan eich priod neu bartner sifil,Inherit ISA from your spouse or civil partner,
,/mewngofnodi-cyfrif-taw,,,,no,,Mewngofnodi i’ch cyfrif TAW ar-lein,Login to your online VAT account,
,/talu-gorchymyn-cynhaliaeth-ar-lein,,,,no,,Talu gorchymyn cynhaliaeth ar-lein,Paying a Maintenance Order Online,
,/taliad-tywydd-oer,,,,no,,Taliad Tywydd Oer,Cold Weather Payment,
,/help-gyda-symud-o-fudd-daliadau-i-waith,,,,no,,Help gyda symud o fudd-daliadau i waith,Help with moving from benefits to work,
,/chwilio-am-lys-neu-dribiwnlys,,,,no,,Chwilio am lys neu dribiwnlys,Looking for a court or tribunal,
,/budd-dal-anabledd-anafiadau-diwydiannol/rhagor-o-wybodaeth,,,,no,,Rhagor o wybodaeth,More information,
,/taliad-tanwydd-gaeaf/edrychwch-i-weld-os-ydych-angen-gwneud-cais,,,,no,,Edrychwch i weld os ydych angen gwneud cais,Look to see if you need to apply,
,/talu-yswiriant-gwladol-dosbarth-1a/drwyr-post,,,,no,,Talu â siec drwy’r post,Pay by Postal Check,
,/talu-yswiriant-gwladol-dosbarth-2/cymeradwyo-taliad-drwych-cyfrif-banc-ar-lein,,,,no,,Cymeradwyo taliad drwy’ch cyfrif banc ar-lein,Approve payment via your online bank account,
,/dod-a-phartneriaeth-sifil-i-ben/cyn-ichi-wneud-cais,,,,no,,Cyn ichi wneud cais,Before you apply,
,/lwfans-ceisio-gwaith/eich-cyfweliad-jsa,,,,no,,Eich cyfweliad JSA,Your JSA Interview,
,/oedi-pensiwn-wladwriaeth/etifeddu-pensiwn-y-wladwriaeth-sydd-wedii-ohirio,,,,no,,Etifeddu Pensiwn y Wladwriaeth sydd wedi’i ohirio,Inherit the State Pension which has been postponed,
,/taluch-bil-treth-hunanasesiad/Yn-eich-banc-neu-ch-cymdeithas-adeiladu,,,,no,,Yn eich banc neu’ch cymdeithas adeiladu,In your bank or building society,
,/budd-dal-plant/cymhwystra,,,,no,,Cymhwystra,Eligibility,
,/anghytuno-phenderfyniad-treth/trosolwg,,,,no,,Trosolwg,overview,
,/prisio-ystad-rhywun-sydd-wedi-marw/gwirio-math-o-ystad,,,,no,,Gwirio a oes angen i chi anfon manylion llawn am yr ystâd,Check if you need to send full details about the estate,
,/ad-dalu-eich-benthyciad-myfyrwyr/trosolwg,,,,no,,Trosolwg,overview,
,/cael-help-cthem-cymorth-ychwanegol/os-oes-angen-gwybodaeth-arnoch-mewn-iaith-arall,,,,no,,Os oes angen gwybodaeth arnoch mewn iaith arall,If you need information in another language,
,/lwfans-byw-ir-anabl-i-blant/trosolwg,,,,no,,Trosolwg,overview,
,/talu-toll-peiriannau-hapchwarae/gwneud-trosglwyddiad-banc-ar-lein-neu-dros-y-ffon,,,,no,,Gwneud trosglwyddiad banc ar-lein neu dros y ffôn,Make a bank transfer online or by phone,
,/codi-adennill-cofnodi-taw/codi-taw,,,,no,,Codi TAW,Pick up a vat,
,/cofrestru-ar-gyfer-taw/canslo-eich-cofrestriad,,,,no,,Canslo’ch cofrestriad,Cancel your registration,
,/cofrestru-tir-neu-eiddo-gyda-chofrestrfa-tir-em/pryd-maen-rhaid-ichi-gofrestru,,,,no,,Pryd mae’n rhaid ichi gofrestru,When you have to register,
,/cymhorthdal-incwm/trosolwg,,,,no,,Trosolwg,overview,
,/beth-iw-wneud-os-ywch-cerbyd-wedi-cael-ei-ddwyn/rhif-cofrestru-personol,,,,no,,Os oedd gennych rif cofrestru preifat (personol),If you had a private registration number (personal),
,/sut-i-bleidleisio/pleidleisio-drwyr-post,,,,no,,Pleidleisio drwy'r post,Voting by post,
,/terfynau-eich-eiddo/gwneud-cytundeb-terfyn-gydach-cymydog,,,,no,,Gwneud cytundeb terfyn gyda’ch cymydog,Make a limit deal with your neighbor,
,/gwrthwynebu-cofrestru-atwrneiaeth-arhosol/atwrneiaeth-barhaus,,,,no,,Atwrneiaeth barhaus,Continuous power of attorney,
,/pensiwn-sylfaenol-y-wladwriaeth/cynyddu-neu-etifeddu-pensiwn-y-wladwriaeth-gan-eich-priod-neu-bartner-sifil,,,,no,,Cynyddu neu etifeddu pensiwn y wladwriaeth gan eich priod neu bartner sifil,Increase or inherit state pension from your spouse or civil partner,
,/dyletswyddau-atwrneiaeth-barhaus/cyfreithiol,,,,no,,Gwirio bod atwrneiaeth barhaus yn gyfreithiol,Checking that continuous power of attorney is legal,
,/talu-treth-gorfforaeth/cerdyn-debyd-neu-gredyd,,,,no,,Â cherdyn debyd neu gerdyn credyd corfforaethol ar-lein,Have a debit card or corporate credit card online,
,/cofrestru-ar-gyfer-taw/trosglwyddo-eich-cofrestriad,,,,no,,Trosglwyddo eich cofrestriad,Transfer your registration,
,/ad-dalu-eich-benthyciad-myfyrwyr/beth-y-byddwch-yn-ei-dalu,,,,no,,Faint y byddwch yn ei ad-dalu,How much you will refund,
,/tal-salwch-statudol/sut-i-hawlio,,,,no,,Sut i hawlio,How to claim,
,/sut-mae-taw-yn-gweithio/faint-o-taw-iw-chodi,,,,no,,Faint o TAW y mae’n rhaid i chi ei chodi,How much VAT do you have to pick up,
,/elusennau-a-threth/cael-cydnabyddiaeth,,,,no,,Cael cydnabyddiaeth at ddibenion treth,Obtain recognition for tax purposes,
,/dod-ddirprwy/trosolwg,,,,no,,Trosolwg,overview,
,/help-gyda-symud-o-fudd-daliadau-i-waith/trosolwg,,,,no,,Trosolwg,overview,
,/budd-dal-plant/gwneud-newid-ich-hawliad,,,,no,,Gwneud newid i’ch hawliad,Make a change to your claim,
,/credyd-pensiwn/beth-fyddwch-yn-ei-gael,,,,no,,Beth fyddwch yn ei gael,What will you get,
,/tal-ac-absenoldeb-mabwysiadu-statudol-arweiniad-i-gyflogwyr/cyfnod-rhybudd,,,,no,,Cyfnod rhybudd,A warning period,
,/oedi-pensiwn-wladwriaeth/gwneud-cais-am-bensiwn-y-wladwriaeth-wedii-ohirio,,,,no,,Gwneud cais am Bensiwn y Wladwriaeth wedi’i ohirio,Applying for State Pension has been postponed,
,/cysylltu-canolfan-byd-gwaith/ceisiadau-newydd-am-fudddal,,,,no,,Ceisiadau newydd am fudd-dal,New applications for benefit,
,/talu-treth-twe/trosolwg,,,,no,,Trosolwg,overview,
,/mynediad-at-waith/ar-ol-i-chi-wneud-cais,,,,no,,Ar ôl i chi wneud cais am y grant,After you apply for the grant,
,/done/gwirio-gwybodaeth-trwydded-yrru-rhywun,,,,no,,Rhowch adborth ar Gwirio gwybodaeth trwydded yrru rhywun,Give feedback on checking someone's driving license information,
,/done/rhoi-rhif-cofrestru-preifat-ar-gerbyd,,,,no,,Rhowch adborth ar Rhoi rhif cofrestru preifat ar gerbyd,Give feedback on placing a private registration number on a vehicle,
,/diweddaru-cofnodion-eiddo-pan-fydd-rhywun-yn-marw,,,,no,,Diweddaru cofnodion eiddo pan fydd rhywun yn marw,Update property records when someone dies,
,/codau-treth-cyflogai,,,,no,,Deall codau treth eich cyflogeion,Understand your employees' tax codes,
,/deall-eich-bil-treth-hunanasesiad,,,,no,,Deall eich bil treth Hunanasesiad,Understand your self -assessment tax bill,
,/tal-absenoldeb-tadolaeth,,,,no,,Tâl ac absenoldeb tadolaeth,Paternity pay and leave,
,/bonws-nadolig,,,,no,,Bonws Nadolig,Christmas bonus,
ag,/addasiadau-rhesymol-i-weithwyr-ag-anableddau-neu-gyflyrau-iechyd,1 okay,1,,yes,with,Addasiadau rhesymol i weithwyr ag anableddau neu gyflyrau iechyd,Reasonable adjustments for workers with disabilities or health conditions,
,/hysbysiadau-gweithdrefn-un-ynad,,,,no,,Hysbysiadau Gweithdrefn Un Ynad,One Magistrate Procedure Notices,
,/cofnodi-ple-ar-gyfer-trosedd-traffig,,,,no,,Cofnodi ple ar gyfer trosedd traffig,Record a plea for traffic crime,
,/cyflogwyr-tal-absenoldeb-tadolaeth/mabwysiadu,,,,no,,Mabwysiadu,Adopt,
,/tal-salwch-statudol-arweiniad-i-gyflogwyr/rhoi-rhybudd-a-nodynnau-ffitrwydd,,,,no,,Rhoi rhybudd a nodynnau ffitrwydd,Give a warning and fitness notes,
,/benthyciadau-trefnu/help-arall-allwch-chi-ei-gael,,,,no,,Help arall allwch chi ei gael,Another help you can get,
,/cytundeb-setliad-twe/yr-hyn-sydd-wedi-ei-gynnwys,,,,no,,Yr hyn sydd wedi’i gynnwys,What is included,
,/tal-ac-absenoldeb-mabwysiadu-statudol-arweiniad-i-gyflogwyr/cymhwystra,,,,no,,Cymhwystra,Eligibility,
,/costau-tai-a-chredyd-cynhwysol/sut-i-wneud-cais,,,,no,,Sut i wneud cais,How to apply,
,/mynediad-at-waith/trosolwg,,,,no,,Beth yw Mynediad at Waith,What is access to work,
,/cyflogwyr-tal-absenoldeb-mamolaeth/hawl,,,,no,,Hawl,Right,
,/lwfans-byw-ir-anabl/cyfraddau-dla,,,,no,,Cyfraddau DLA,DLA rates,
,/talu-cosb-twe/debyd-uniongyrchol,,,,no,,Debyd Uniongyrchol,Direct Debit,
,/rhoi-gwybod-am-eich-treth-enillion-cyfalaf-a-i-thalu/dulliau-o-dalu,,,,no,,Dulliau o dalu,Methods of paying,
,/help-gyda-symud-o-fudd-daliadau-i-waith/help-ar-gyfer-problemau-penodol,,,,no,,Help gyda phroblemau cyffuriau ag alcohol,Help with drug problems with alcohol,
,/talu-psa/yn-eich-banc-neuch-cymdeithas-adeiladu,,,,no,,Yn eich banc neu’ch cymdeithas adeiladu,In your bank or building society,
,/help-gyda-chostau-gofal-plant/gofal-plant-cymeradwy,,,,no,,Gofal plant y gallwch gael help i dalu amdano,Childcare you can get help pay for,
,/sut-mae-taw-yn-gweithio/cynlluniau-taw,,,,no,,Cynlluniau TAW,VAT plans,
,/defnyddio-llog-syn-rhydd-o-dreth-ar-gynilion/blynyddoedd-treth-blaenorol,,,,no,,Blynyddoedd treth blaenorol,Previous tax years,
,/dod-a-nwyddau-i-mewn-ir-du-at-ddefnydd-personol/trosolwg,,,,no,,Trosolwg,overview,
,/lwfans-rhaint-gweddw/beth-fyddwch-yn-ei-gael,,,,no,,Beth fyddwch yn ei gael,What will you get,
,/elusennau-a-threth/trosolwg,,,,no,,Trosolwg,overview,
,/gwasanaethau-cthem-mewngofnodi-neu-gofrestru/cofrestru-ar-gyfer-gwasanaethau-arlein-cthem,,,,no,,Cofrestru ar gyfer Gwasanaethau Ar-lein CThEF,Sign up for CTHEF online services,
,/taliad-ymlaen-llaw-o-fudd-dal-yn-y-tymor-byr/sut-i-wneud-cais,,,,no,,Sut i wneud cais,How to apply,
,/talu-treth-gorfforaeth/manylion-banc,,,,no,,Gwneud trosglwyddiad banc ar-lein neu dros y ffôn,Make a bank transfer online or by phone,
,/tribiwnlys-treth/apelio-ir-tribiwnlys,,,,no,,Apelio i'r tribiwnlys,Appeal to the tribunal,
,/ad-daliad-dirprwyaeth/ad-daliad-dirprwyaeth,,,,no,,Trosolwg,overview,
,/pensiwn-y-wladwriaeth-newydd/rydych-wedi-bod-yn-aelod-o-bensiwn-gweithle-pensiwn-personol-neu-bensiwn-cyfranddeiliaid,,,,no,,"Rydych wedi bod yn aelod o bensiwn gweithle, pensiwn personol neu bensiwn cyfranddeiliaid","You have been a member of a workplace pension, personal pension or shareholder pension",
,/ffurflenni-treth-hunanasesiad/pwy-syn-gorfod-anfon-ffurflen-dreth,,,,no,,Pwy sy’n gorfod anfon Ffurflen Dreth,Who has to send a tax return,
,/dod-ddirprwy/pwy-all-wneud-cais-i-fod-yn-ddirprwy,,,,no,,Pwy all wneud cais i fod yn ddirprwy,Who can apply to be a proxy,
,/budd-dal-plant/yr-hyn-y-byddwch-yn-ei-gael,,,,no,,Yr hyn y byddwch yn ei gael,What you get,
,/taluch-bil-treth-hunanasesiad/gwirio-bod-eich-taliad-wedi-dod-i-law,,,,no,,Gwirio bod eich taliad wedi cyrraedd,Checking that your payment has arrived,
,/cynllun-gostyngiad-cartrefi-cynnes/os-ydych-yn-cael-yr-elfen-gwarant-credyd-o-gredyd-pensiwn,,,,no,,Os ydych yn cael yr elfen Gwarant Credyd o Gredyd Pensiwn,If you get the credit guarantee element of pension credit,
,/prisio-ystad-rhywun-sydd-wedi-marw/cofnodion,,,,no,,Cofnodion,Record,
