query,link,score_description,score,,Total Unique Searches,% Search Refinements,clusterID
cherity,,,,,31,46%,4
pressetlement,,,,,31,88%,6
presetlled,,,,,31,87%,36
school2school,,,,,31,40%,49
childcate,/sign-in-childcare-account,3 perfect,3,,31,97%,50
chuldcare,/sign-in-childcare-account,3 perfect,3,,31,88%,54
budgetloan,,,,,31,74%,56
national.insurance,,,,,31,97%,90
hmec,,,,,31,84%,92
gov.id,,,,,31,69%,113
gatewayy,,,,,31,90%,176
ulaz,,,,,31,54%,202
c1202a,,,,,31,75%,225
emoti,,,,,31,68%,234
iltica,,,,,31,61%,260
disolve,,,,,31,88%,275
v342,,,,,31,40%,318
csg1,,,,,31,43%,327
apaay,,,,,31,18%,353
gov.ukid,,,,,31,62%,372
ca3940,,,,,31,39%,393
nsv004,,,,,31,44%,401
eihc,,,,,31,80%,407
eeuss,,,,,31,92%,411
selfaccessment,/log-in-file-self-assessment-tax-return,3 perfect,3,,30,92%,6
aprenteships,/apply-apprenticeship,3 perfect,3,,30,61%,25
apprenticeshi,/apply-apprenticeship,3 perfect,3,,30,93%,26
collegebrawl,,,,,30,9%,42
householdhelp,https://helpforhouseholds.campaign.gov.uk,3 perfect,3,,30,77%,52
penshon,,,,,30,67%,65
disaplinary,,,,,30,70%,73
3002003831,,,,,30,38%,122
ancestory,,,,,30,81%,123
dislexia,,,,,30,75%,128
seetle,,,,,30,73%,159
uc113,,,,,30,53%,159
v88,,,,,30,71%,174
opdate,,,,,30,83%,182
ubdate,,,,,30,88%,182
appealdvlafine,,,,,30,38%,209
aslyum,,,,,30,80%,239
inloggen,,,,,30,70%,311
modca2,,,,,30,67%,376
беженство,,,,,30,51%,390
jamacia,,,,,30,79%,411
nmo1,,,,,30,77%,439
nicontributions,/check-national-insurance-record,3 perfect,3,,29,88%,6
apprenships,/apply-apprenticeship,3 perfect,3,,29,69%,28
apprentenship,/apply-apprenticeship,3 perfect,3,,29,58%,28
passpirt,,,,,29,93%,31
passporrt,,,,,29,86%,31
electrition,,,,,29,62%,38
contatti,,,,,29,52%,40
u50,,,,,29,88%,48
4000c07,,,,,29,59%,77
dubia,,,,,29,68%,145
imovo,,,,,29,38%,154
rpwonline,,,,,29,32%,180
uppdate,,,,,29,93%,182
295402,,,,,29,30%,205
marige,,,,,29,74%,209
moonsighting,,,,,29,61%,213
stayback,,,,,29,63%,232
sf200adult,,,,,29,40%,239
60551,,,,,29,32%,266
gateay,,,,,29,87%,270
paac,,,,,29,33%,274
shrecode,/prove-right-to-work,3 perfect,3,,29,97%,296
shrecode,/view-prove-immigration-status,3 perfect,3,,29,97%,296
1267l,,,,,29,32%,302
mytax,,,,,29,73%,306
afpaf,,,,,29,83%,310
divorve,,,,,29,83%,314
78430,,,,,29,31%,322
gmrc,,,,,29,90%,343
beyfortus,,,,,29,33%,345
gwf066518002,,,,,29,6%,345
rf12,,,,,29,50%,360
універсальний кредит,,,,,29,36%,368
gsteway,,,,,29,86%,385
viwe,,,,,29,87%,389
darttag,,,,,29,67%,401
соціальне житло,,,,,29,55%,402
hmrcsar,,,,,29,89%,403
silodosin,,,,,29,93%,404
unifor,,,,,29,86%,416
seattlement,/settled-status-eu-citizens-families,3 perfect,3,,28,81%,2
brevment,/when-someone-dies,3 perfect,3,,28,77%,4
brevment,/bereavement-support-payment,3 perfect,3,,28,77%,4
appreciatships,/apply-apprenticeship,3 perfect,3,,28,69%,27
apprentischips,/apply-apprenticeship,3 perfect,3,,28,97%,28
pensionforcast,,,,,28,84%,29
compny,,,,,28,77%,41
graduatevisa,,,,,28,93%,64
apparenticeship,,,,,28,88%,74
checkyourstatepension,,,,,28,49%,75
v6c,,,,,28,66%,83
cepet,,,,,28,39%,124
ccscollect,,,,,28,50%,128
debtcollectors,,,,,28,73%,128
divource,,,,,28,94%,128
form6a,,,,,28,70%,129
ins13,,,,,28,56%,133
homles,,,,,28,67%,147
porve,,,,,28,70%,178
draving,,,,,28,73%,213
p35z,,,,,28,62%,231
thery,,,,,28,66%,241
tro1,,,,,28,68%,260
covidpass,,,,,28,79%,275
p08001,,,,,28,56%,276
probte,,,,,28,100%,276
statyt,,,,,28,27%,284
акаунт,,,,,28,57%,289
аккаунт,,,,,28,69%,289
14518269,,,,,28,30%,290
inshurans,,,,,28,45%,291
ca503,,,,,28,64%,306
joba,,,,,28,83%,309
v68,,,,,28,77%,331
dokodemo,,,,,28,24%,345
euro6,,,,,28,65%,346
sciff,,,,,28,53%,374
ebsa,,,,,28,66%,376
іншуренс,,,,,28,55%,376
мшыф,,,,,28,93%,406
gdrp,,,,,28,58%,420
uraguay,,,,,28,93%,420
uc85,,,,,28,35%,444
реєстрація,,,,,28,44%,445
bearvement,/when-someone-dies,3 perfect,3,,27,79%,5
bearvement,/bereavement-support-payment,3 perfect,3,,27,79%,5
selfassesement,/log-in-file-self-assessment-tax-return,3 perfect,3,,27,79%,7
naturlasation,,,,,27,100%,11
apren,/apply-apprenticeship,3 perfect,3,,27,82%,25
aprenticship,/apply-apprenticeship,3 perfect,3,,27,89%,25
aprentships,/apply-apprenticeship,3 perfect,3,,27,50%,25
apprentecships,/apply-apprenticeship,3 perfect,3,,27,93%,28
childrencare,,,,,27,65%,51
lcwr,,,,,27,64%,56
rr84113,,,,,27,30%,66
lastingpowerofattorney,,,,,27,75%,70
sponership,,,,,27,72%,71
settlememt,,,,,27,81%,82
immigrantion,,,,,27,82%,89
v11w,,,,,27,53%,91
asigurare,,,,,27,43%,127
fortacin,,,,,27,83%,127
feft,,,,,27,82%,134
cfo203,,,,,27,75%,137
ecoli,,,,,27,73%,156
eior,,,,,27,85%,188
netcapacity,,,,,27,72%,200
vat65,,,,,27,90%,201
minoxidil,,,,,27,26%,239
bytebus,,,,,27,26%,240
tirzepatide,,,,,27,21%,242
minimumwage,/national-minimum-wage-rates,3 perfect,3,,27,89%,289
fruitfuljobs,,,,,27,72%,290
sarecode,/prove-right-to-work,3 perfect,3,,27,86%,296
sarecode,/view-prove-immigration-status,3 perfect,3,,27,86%,296
shorcode,,,,,27,69%,297
транзитна віза,,,,,27,67%,298
adresa,,,,,27,76%,345
14152288,,,,,27,58%,347
namber,,,,,27,65%,347
psye,,,,,27,96%,380
7188044,,,,,27,22%,390
pasdport,,,,,27,83%,404
webcaht,,,,,27,96%,405
divroce,,,,,27,96%,407
rezidente,,,,,27,57%,412
ukrane,,,,,27,77%,418
beareavement,/when-someone-dies,3 perfect,3,,26,86%,5
beareavement,/bereavement-support-payment,3 perfect,3,,26,86%,5
emmigration,,,,,26,74%,11
apprecticeships,/apply-apprenticeship,3 perfect,3,,26,83%,28
apprenship,/apply-apprenticeship,3 perfect,3,,26,52%,28
appretaship,/apply-apprenticeship,3 perfect,3,,26,67%,28
electroll,,,,,26,67%,38
contacr,,,,,26,92%,40
contatc,,,,,26,92%,40
choldcare,/sign-in-childcare-account,3 perfect,3,,26,100%,54
tradmark,,,,,26,77%,66
childtrust,,,,,26,92%,70
spouce,,,,,26,85%,70
sponsporship,,,,,26,77%,71
pneumoccocal,,,,,26,85%,73
3002003830,,,,,26,45%,122
turist vizesi,,,,,26,67%,128
c1146,,,,,26,58%,160
pobate,,,,,26,86%,181
ap8000,,,,,26,22%,187
fenticonazole,,,,,26,100%,200
vat648,,,,,26,93%,201
1257lx,,,,,26,50%,205
0503rostas,,,,,26,10%,209
thorey,,,,,26,68%,209
deiving,,,,,26,96%,213
ghik,,,,,26,81%,238
ompmoney,,,,,26,54%,239
tvlicence,,,,,26,72%,251
mro4,,,,,26,66%,259
v117,,,,,26,52%,269
vehi,,,,,26,81%,270
indifinite,,,,,26,86%,278
5939170,,,,,26,26%,289
спонсорська віза,,,,,26,35%,298
1271l,,,,,26,32%,304
selsun,,,,,26,24%,330
sigin in,,,,,26,85%,341
11759133,,,,,26,29%,345
sao32,,,,,26,50%,350
se370,,,,,26,71%,362
dvlr,,,,,26,74%,374
prouve,,,,,26,79%,376
gteway,,,,,26,93%,385
nsv001,,,,,26,38%,401
ippafs,/guidance/import-of-products-animals-food-and-feed-system,3 perfect,3,,26,85%,406
conatct,,,,,26,85%,411
tahograf,,,,,26,64%,412
sealf asesment,/log-in-file-self-assessment-tax-return,3 perfect,3,,26,100%,414
ca411,,,,,26,80%,417
cfn901,,,,,26,67%,420
a46a,,,,,26,43%,422
ca916,,,,,26,50%,423
53z,,,,,26,63%,438
visaapplication,/sign-in-visa,3 perfect,3,,25,84%,5
imegration,,,,,25,76%,11
apprencticeship,/apply-apprenticeship,3 perfect,3,,25,96%,28
apprentceships,/apply-apprenticeship,3 perfect,3,,25,72%,28
apprentieships,/apply-apprenticeship,3 perfect,3,,25,96%,28
appreteships,/apply-apprenticeship,3 perfect,3,,25,71%,28
passporty,,,,,25,88%,31
passpprt,,,,,25,76%,31
passprot,,,,,25,92%,31
visaf,,,,,25,88%,32
childc,/sign-in-childcare-account,3 perfect,3,,25,92%,50
childcsre,/sign-in-childcare-account,3 perfect,3,,25,96%,50
helpforhouse,https://helpforhouseholds.campaign.gov.uk,3 perfect,3,,25,65%,52
budgetingloans,,,,,25,86%,56
viewdrivingrecord,,,,,25,38%,66
spousevisa,,,,,25,96%,70
trustfunds,,,,,25,92%,70
sponshorship,,,,,25,70%,71
12190935,,,,,25,46%,74
pesnion,,,,,25,100%,91
£,,,,,25,73%,118
13868356,,,,,25,24%,146
1d1,,,,,25,76%,166
-,,,,,25,61%,168
0.00E+00,,,,,25,81%,172
checkmot,,,,,25,88%,179
applyonline,,,,,25,64%,180
d751a,,,,,25,35%,192
bps2023,,,,,25,96%,230
dsa01,,,,,25,69%,255
imprumut,,,,,25,47%,278
indifinet,,,,,25,93%,278
ex730,,,,,25,49%,297
ukvicas,,,,,25,55%,301
afps8,,,,,25,55%,330
lahf,,,,,25,72%,330
pipag,,,,,25,59%,343
waikan,,,,,25,81%,345
betaloc,,,,,25,79%,347
carprazine,,,,,25,92%,353
h050,,,,,25,74%,360
юниверсал кредит,,,,,25,34%,368
dsa2,,,,,25,45%,371
vtg788,,,,,25,70%,377
ovfa,,,,,25,70%,382
ekuz,,,,,25,57%,386
indonisia,,,,,25,100%,390
setelmen,,,,,25,45%,393
birdflu,,,,,25,70%,403
bancrupcy,,,,,25,73%,404
1269l,,,,,25,15%,407
pove,,,,,25,100%,409
cgn11,,,,,25,59%,410
страхование,,,,,25,76%,411
ebss_af,,,,,25,68%,412
psco1,,,,,25,54%,412
homehelp,,,,,25,92%,413
vtg6a,,,,,25,68%,445
insurrance,,,,,24,69%,4
retairment,/plan-for-retirement,3 perfect,3,,24,81%,4
settalment,,,,,24,88%,6
lience,,,,,24,84%,9
aprentship,/apply-apprenticeship,3 perfect,3,,24,44%,25
appreterships,/apply-apprenticeship,3 perfect,3,,24,47%,28
pensioin,,,,,24,100%,29
pensjon,,,,,24,56%,30
passpoert,,,,,24,92%,31
schoolarship,,,,,24,70%,49
presattle,,,,,24,88%,63
freedompass,,,,,24,65%,78
pebsion,,,,,24,88%,92
gynoxin,,,,,24,100%,128
formt,,,,,24,88%,129
gatewau,,,,,24,96%,176
passwort,,,,,24,78%,177
swf1,,,,,24,48%,185
dbd420,,,,,24,54%,200
ilez,,,,,24,81%,208
taxc,,,,,24,100%,214
gatwey,,,,,24,81%,224
visitorvisa,,,,,24,85%,232
nm1,,,,,24,84%,247
uhic,,,,,24,81%,259
olez,,,,,24,78%,280
eligard,,,,,24,100%,290
saasub,,,,,24,54%,290
ih207,,,,,24,76%,301
milleage,,,,,24,85%,301
dearh,,,,,24,76%,325
asylym,,,,,24,89%,326
dvsla,,,,,24,80%,344
se302,,,,,24,58%,357
v778w,,,,,24,54%,367
cheklist,,,,,24,68%,376
ipc1394,,,,,24,70%,376
الهجرة,,,,,24,56%,376
qdenga,,,,,24,47%,381
zanidip,,,,,24,100%,381
paey,,,,,24,88%,384
wiev,,,,,24,76%,388
hicbic,,,,,24,100%,393
глкфшту,,,,,24,100%,393
x160,,,,,24,81%,394
hmrcsignin,,,,,24,71%,403
nmrc,,,,,24,80%,407
ca411a,,,,,24,76%,417
ir38,,,,,24,74%,444
viaa,,,,,24,88%,449
seatlement,/settled-status-eu-citizens-families,3 perfect,3,,23,88%,2
winterfuelpayments,,,,,23,40%,6
naturilization,,,,,23,91%,11
uktiersponsors.co.uk,,,,,23,28%,21
aprent,/apply-apprenticeship,3 perfect,3,,23,70%,25
apprenceship,/apply-apprenticeship,3 perfect,3,,23,91%,28
apprencticeships,/apply-apprenticeship,3 perfect,3,,23,87%,28
pensiob,,,,,23,96%,29
renewpassport,,,,,23,83%,31
lenguage,,,,,23,83%,42
childca,/sign-in-childcare-account,3 perfect,3,,23,91%,50
energysupport,,,,,23,62%,55
beneficii,,,,,23,74%,57
as302,,,,,23,67%,62
presttle,,,,,23,53%,63
ca5478,,,,,23,35%,67
alocatie copii,,,,,23,59%,68
privisonal,,,,,23,79%,74
citicenship,,,,,23,84%,78
социальное жилье,,,,,23,58%,79
presettlet,,,,,23,92%,82
3002003600,,,,,23,60%,122
utrnumber,,,,,23,88%,126
aspestos,,,,,23,64%,128
ds500,,,,,23,64%,146
sherkod,,,,,23,64%,146
omaze,,,,,23,36%,147
hmra,,,,,23,71%,162
chequp,,,,,23,42%,178
ballout,,,,,23,71%,188
fl416,,,,,23,19%,198
cotact,,,,,23,91%,204
"""panadol liquid caps""",,,,,23,87%,209
p87form,,,,,23,81%,209
"""pharmacy own ibuprofen paracetamol""",,,,,23,96%,212
"""pharmacy own paracetamol""",,,,,23,96%,212
"""wagner health liquigesic ibuprofen paracetamol""",,,,,23,100%,212
"""wagner health liquigesic paracetamol""",,,,,23,100%,212
30hour,,,,,23,65%,218
flavoxate,,,,,23,100%,239
12878365,,,,,23,35%,242
vehicletaxrules,,,,,23,36%,251
indifinate,,,,,23,83%,278
убежище,,,,,23,27%,289
alcool,,,,,23,81%,290
greencard,,,,,23,88%,290
preesettle,,,,,23,80%,290
wegovy,,,,,23,38%,290
np46,,,,,23,30%,310
matainity,,,,,23,3%,322
спонсорство,,,,,23,42%,322
ccee1,,,,,23,46%,324
depole,,,,,23,73%,327
40001rv,,,,,23,46%,329
1089464,,,,,23,33%,344
777557176,,,,,23,27%,345
eh0200061,,,,,23,90%,345
lubion,,,,,23,40%,347
gh1c,,,,,23,67%,351
serim,,,,,23,75%,358
nsesaf1,,,,,23,52%,376
ca3196,,,,,23,79%,390
hesabım,,,,,23,54%,390
osch01,,,,,23,85%,398
3007906268,,,,,23,35%,403
motobike,,,,,23,84%,404
murcidencel,,,,,23,29%,404
valentmir568,,,,,23,0%,404
chagosian,,,,,23,79%,411
v211,,,,,23,30%,426
дом,,,,,23,32%,429
mlrf,,,,,23,71%,446
c5v,,,,,23,70%,455
eusettelment,/settled-status-eu-citizens-families,3 perfect,3,,22,91%,3
selfasses,/log-in-file-self-assessment-tax-return,3 perfect,3,,22,77%,7
provistional,/apply-first-provisional-driving-licence,3 perfect,3,,22,67%,8
naturlization,,,,,22,91%,11
apprenticesips,/apply-apprenticeship,3 perfect,3,,22,86%,26
appreciaships,/apply-apprenticeship,3 perfect,3,,22,52%,27
apprenaships,/apply-apprenticeship,3 perfect,3,,22,65%,28
appretice,/apply-apprenticeship,3 perfect,3,,22,82%,28
pressetlle,,,,,22,48%,35
presetat,,,,,22,44%,36
contack,,,,,22,83%,40
digidentify,,,,,22,44%,42
householdresponse,,,,,22,82%,52
"""wakey wakey caffeine energy""",,,,,22,100%,55
powerofattorney,,,,,22,78%,70
sponshership,,,,,22,73%,71
dealingwithhmrc,,,,,22,64%,73
pervisinal,,,,,22,64%,73
opportunitech,,,,,22,16%,74
peternity,,,,,22,83%,80
settledstatus,,,,,22,81%,85
pwnsion,,,,,22,96%,92
3002003805,,,,,22,52%,122
daridorexant,,,,,22,26%,128
herc,,,,,22,96%,132
aw8p,,,,,22,50%,141
zineera,,,,,22,0%,145
14254468,,,,,22,18%,147
gateway.gov,,,,,22,63%,176
v894,,,,,22,52%,186
lockbook,,,,,22,61%,196
"""solarcare b3""",,,,,22,77%,204
sacsub,,,,,22,26%,205
britcoin,,,,,22,50%,209
"""apohealth ibuprofen plus paracetamol""",,,,,22,95%,212
"""chemists' own ibuprofen paracetamol""",,,,,22,100%,212
gatweay,,,,,22,91%,224
c285cds,,,,,22,61%,225
immbear1,,,,,22,0%,242
vehichle,,,,,22,77%,251
pcoin,,,,,22,39%,260
campany,,,,,22,65%,284
redunacy,,,,,22,82%,288
menapause,,,,,22,83%,290
sorcode,,,,,22,71%,297
myt1,,,,,22,35%,310
divore,,,,,22,91%,314
ytr,,,,,22,76%,315
settal,,,,,22,67%,320
ukez,,,,,22,100%,322
12572438,,,,,22,18%,345
14734197,,,,,22,30%,345
5804109000,,,,,22,5%,345
nursury,,,,,22,79%,355
uknaric,,,,,22,85%,355
jsp950,,,,,22,57%,361
ca8241,,,,,22,73%,376
veitnam,,,,,22,78%,390
14534794,,,,,22,29%,396
ccs14a,,,,,22,33%,398
житло,,,,,22,57%,402
hmrcapp,,,,,22,87%,403
украинцы,,,,,22,77%,403
canidrive,,,,,22,42%,404
merriage,,,,,22,82%,404
биометрия,,,,,22,32%,404
обліковий запис,,,,,22,57%,404
ubezpieczenie,,,,,22,76%,411
minerfox,,,,,22,44%,412
bolier,,,,,22,78%,417
uc40,,,,,22,75%,446
stlement,/settled-status-eu-citizens-families,3 perfect,3,,21,65%,2
berievment,/when-someone-dies,3 perfect,3,,21,70%,4
berievment,/bereavement-support-payment,3 perfect,3,,21,70%,4
pantion,/check-state-pension,3 perfect,3,,21,63%,4
provesional,/apply-first-provisional-driving-licence,3 perfect,3,,21,55%,8
dvel,,,,,21,73%,10
natrulisation,,,,,21,100%,11
naturalsation,,,,,21,86%,11
appreniceship,/apply-apprenticeship,3 perfect,3,,21,86%,28
appreticships,/apply-apprenticeship,3 perfect,3,,21,95%,28
presetels,,,,,21,65%,36
compaines,,,,,21,92%,41
changeofaddress,,,,,21,82%,42
childmaintance,/child-maintenance-service,3 perfect,3,,21,90%,51
helphousehold,https://helpforhouseholds.campaign.gov.uk,3 perfect,3,,21,73%,52
sharecord,,,,,21,58%,53
childcare.tax.service.gov.uk,,,,,21,50%,60
skilledworker,,,,,21,61%,69
apparentship,,,,,21,64%,74
deportação,,,,,21,65%,75
matternity,,,,,21,83%,80
statusu,,,,,21,52%,84
nationalty,,,,,21,87%,90
fl401t',/government/publications/apply-for-a-non-molestation-or-occupation-order-fl399,3 perfect,3,,21,65%,109
wherehouse,,,,,21,42%,126
zoella,,,,,21,43%,127
кабинет,,,,,21,58%,127
лицензия,,,,,21,46%,127
autisum,,,,,21,81%,128
dantist,,,,,21,90%,128
ietls,,,,,21,64%,141
xxnx,,,,,21,15%,144
eitas,,,,,21,73%,147
eiro,,,,,21,76%,156
payw,,,,,21,100%,161
ogin,,,,,21,90%,177
gmrb,,,,,21,65%,181
cleanair,,,,,21,52%,184
dvia,,,,,21,80%,193
"""ascorbic acid, caffeine, cyanocobalamin, nicotinamide, pyridoxine hydrochloride, paullinia cupana""",,,,,21,100%,200
"""ferrous sulfate, inulin""",,,,,21,41%,200
gemporia,,,,,21,35%,204
pencions,,,,,21,68%,204
anmeldung,,,,,21,30%,213
naturalización,,,,,21,88%,213
tlsconnect,,,,,21,61%,213
bf58,,,,,21,58%,225
lpa1f,,,,,21,65%,281
28105,,,,,21,58%,290
bollat,,,,,21,76%,292
logion,,,,,21,95%,294
hscode,,,,,21,74%,296
rd40,,,,,21,61%,311
marriege,,,,,21,75%,321
gen1,,,,,21,58%,329
afps14,,,,,21,70%,330
te7te9,,,,,21,75%,339
11388868,,,,,21,24%,345
8000232635,,,,,21,40%,345
zaloguj,,,,,21,54%,345
236020,,,,,21,28%,346
soain,,,,,21,95%,348
ofoeme,,,,,21,14%,367
llad01,,,,,21,72%,368
d497,,,,,21,40%,369
cs411,,,,,21,65%,378
airzone,,,,,21,75%,398
ayslum,,,,,21,71%,401
pastdue,,,,,21,59%,403
payvat,/pay-vat,3 perfect,3,,21,90%,404
asiad,,,,,21,48%,405
y923,,,,,21,39%,408
246810,,,,,21,22%,411
1qazwsxq==,,,,,21,13%,411
theiry,,,,,21,95%,418
ipcsu117,,,,,21,67%,443
dcla,,,,,21,100%,444
v56,,,,,21,59%,457
stetment,,,,,20,57%,3
ebss alternative funding,,,,,20,19%,6
privisional,/apply-first-provisional-driving-licence,3 perfect,3,,20,86%,8
statusoutcome,,,,,20,95%,9
"""decision selected for reporting as [2022]""",,,,,20,67%,10
pensins,,,,,20,95%,30
passportr,,,,,20,90%,31
passportrenewal,,,,,20,87%,31
disclousure,,,,,20,90%,42
bff2,,,,,20,78%,43
sharedcode,,,,,20,91%,53
mortgagesmiths,,,,,20,40%,57
msf4274,,,,,20,50%,66
животные,,,,,20,60%,67
skillworker,,,,,20,75%,69
trustapp,,,,,20,0%,70
sa37,,,,,20,73%,74
skillbootcamp,,,,,20,90%,74
inssurance,,,,,20,86%,75
stasus,,,,,20,85%,75
citizenchip,,,,,20,87%,78
idmining,,,,,20,42%,92
idsall,,,,,20,29%,128
266612,,,,,20,61%,131
hmsc,,,,,20,82%,138
v371,,,,,20,81%,143
merseyflow,,,,,20,60%,145
1ht205,,,,,20,81%,156
seetled,,,,,20,73%,159
surf2,,,,,20,39%,159
hmrd,,,,,20,100%,161
carcheck,,,,,20,75%,179
seatlle,,,,,20,86%,191
lokbook,,,,,20,67%,196
v63,,,,,20,68%,199
"""caffeine, nicotinamide, paullinia cupana, thiamine hydrochloride""",,,,,20,100%,200
motabilty,,,,,20,90%,213
nan,,,,,20,65%,219
malasia,,,,,20,90%,239
resedinta,,,,,20,43%,242
inntravel,,,,,20,61%,249
drivinglicense,,,,,20,90%,251
inport,,,,,20,91%,251
frauda,,,,,20,68%,268
dratford,,,,,20,65%,270
v756,,,,,20,45%,276
asaylum,,,,,20,68%,290
devorice,,,,,20,74%,301
ca1890,,,,,20,56%,302
mf47,,,,,20,32%,306
divo,,,,,20,50%,314
divors,,,,,20,83%,314
ccfs7a,,,,,20,92%,317
easd,,,,,20,67%,340
bilastine,,,,,20,23%,345
pluvicto,,,,,20,43%,345
pg67a,,,,,20,83%,346
uliz,,,,,20,61%,361
v555,,,,,20,77%,367
4885712,,,,,20,11%,368
6071950,,,,,20,0%,376
wn5a,,,,,20,79%,383
indonasia,,,,,20,95%,390
ospap,,,,,20,42%,396
14366911,,,,,20,32%,403
xieori,,,,,20,75%,403
einreisebestimmungen,,,,,20,31%,404
inf210,,,,,20,60%,404
євробачення,,,,,20,22%,404
scrapage,,,,,20,67%,405
hcrm,,,,,20,50%,407
3926909090,,,,,20,28%,411
bf5,,,,,20,77%,431
cwf1st,,,,,20,63%,443
ension,/check-state-pension,3 perfect,3,,19,100%,1
stettlement,/settled-status-eu-citizens-families,3 perfect,3,,19,83%,2
apoiment,,,,,19,55%,6
presciptions,/get-a-ppc,3 perfect,3,,19,65%,6
traveldocument,,,,,19,89%,6
probisional,/apply-first-provisional-driving-licence,3 perfect,3,,19,84%,8
provissional,/apply-first-provisional-driving-licence,3 perfect,3,,19,68%,8
natulisation,,,,,19,87%,11
apprentachip,/apply-apprenticeship,3 perfect,3,,19,70%,26
apprentechips,/apply-apprenticeship,3 perfect,3,,19,84%,26
apprentichsips,/apply-apprenticeship,3 perfect,3,,19,95%,26
apprenceships,/apply-apprenticeship,3 perfect,3,,19,89%,28
apprenitceships,/apply-apprenticeship,3 perfect,3,,19,65%,28
apprentieship,/apply-apprenticeship,3 perfect,3,,19,95%,28
pensii,,,,,19,59%,30
pensoins,,,,,19,71%,30
passportd,,,,,19,100%,31
electrian,,,,,19,54%,38
ipayview,,,,,19,19%,42
asylm,,,,,19,90%,43
transhuman,,,,,19,43%,44
sharecodw,,,,,19,100%,53
businessrates,,,,,19,95%,57
carears,,,,,19,75%,57
profitsecure,,,,,19,0%,57
presatle,,,,,19,70%,63
presttled,,,,,19,78%,63
flrhro,,,,,19,80%,67
parentview,,,,,19,74%,74
statepensionsummary,,,,,19,48%,75
9999724,,,,,19,26%,77
provisanal,,,,,19,85%,87
nationl,,,,,19,95%,90
n.i.contributions,/check-national-insurance-record,3 perfect,3,,19,82%,112
fl40it,,,,,19,79%,128
sonderwell,,,,,19,57%,128
ukrine,,,,,19,71%,128
formp53z,,,,,19,63%,129
ardp,,,,,19,90%,135
3151000,,,,,19,45%,146
1255l,,,,,19,32%,146
plld,,,,,19,95%,149
chatbox,,,,,19,62%,186
festicket,,,,,19,27%,188
dvlsa,/government/organisations/driver-and-vehicle-licensing-agency,2 good,2,,19,85%,190
sigm in,,,,,19,90%,194
dimentia,,,,,19,95%,205
4041477,,,,,19,13%,209
covidsurvey,,,,,19,59%,209
pentoxifylline,,,,,19,14%,209
tradebell,,,,,19,57%,209
pn1form,,,,,19,63%,210
labolatory techinian,,,,,19,5%,213
dvli,,,,,19,89%,216
passorts,,,,,19,71%,216
otm1,,,,,19,55%,225
5864054,,,,,19,14%,239
"""caffeine gummies""",,,,,19,95%,239
ca5400d,,,,,19,65%,239
pn733,,,,,19,73%,239
sinupret,,,,,19,95%,239
ca9716,,,,,19,85%,241
ins115,,,,,19,50%,241
austrlia,,,,,19,89%,242
touris,,,,,19,65%,248
touristvisa,,,,,19,86%,248
traval,,,,,19,71%,249
ca9167,,,,,19,70%,256
psc0,,,,,19,75%,258
dvka,,,,,19,95%,264
qfdc,,,,,19,27%,271
pa1f,,,,,19,61%,281
chaild,,,,,19,80%,285
cancard,,,,,19,20%,290
5100a04,,,,,19,45%,292
te11a,,,,,19,100%,304
domant,,,,,19,95%,328
rezydent,,,,,19,71%,330
fkq,,,,,19,26%,335
refun,,,,,19,74%,342
pplprs,,,,,19,78%,347
aao2,,,,,19,77%,353
sigb in,,,,,19,89%,353
sattled,,,,,19,77%,360
rarl6,,,,,19,41%,368
upadte,,,,,19,100%,381
wizy,,,,,19,53%,386
cts93,,,,,19,63%,390
egypy,,,,,19,82%,390
беженцы,,,,,19,43%,390
12269053,,,,,19,55%,393
sighin,,,,,19,32%,403
stettle,,,,,19,90%,403
"""gentiana lutea, primula veris, rumex crispus, sambucus nigra, verbena officinalis""",,,,,19,100%,404
drivng,,,,,19,74%,404
mohammedsaleh11,,,,,19,3%,404
reagila,,,,,19,95%,404
schengan,,,,,19,85%,404
warmhomediscountscheme,,,,,19,58%,404
sprache,,,,,19,65%,411
rp20a,,,,,19,75%,417
ukghic,,,,,19,67%,417
etw,,,,,19,64%,433
ww3,,,,,19,33%,441
oensions,/check-state-pension,3 perfect,3,,18,100%,1
stelment,/settled-status-eu-citizens-families,3 perfect,3,,18,76%,3
berivment,/when-someone-dies,3 perfect,3,,18,72%,4
berivment,/bereavement-support-payment,3 perfect,3,,18,72%,4
berivement,/when-someone-dies,3 perfect,3,,18,86%,5
berivement,/bereavement-support-payment,3 perfect,3,,18,86%,5
tlsdocuments,,,,,18,37%,6
personsl,,,,,18,100%,9
nutralisation,,,,,18,85%,11
of,,,,,18,61%,16
appprenticeships,/apply-apprenticeship,3 perfect,3,,18,76%,25
pensipn,,,,,18,89%,30
passpord,,,,,18,77%,31
presettele,,,,,18,83%,36
"""biosource iron c""",,,,,18,94%,37
"""ferro plus c""",,,,,18,100%,37
contacy,,,,,18,94%,40
compay,,,,,18,78%,41
pap1p,,,,,18,85%,45
school,,,,,18,21%,49
householdsupportfund,,,,,18,50%,52
rr84060,,,,,18,28%,66
sponsered,,,,,18,78%,72
sesonal,,,,,18,74%,74
citenship,,,,,18,95%,78
sitizenship,,,,,18,53%,78
settlemt,,,,,18,89%,82
3002003200,,,,,18,47%,122
3002003823,,,,,18,65%,122
7186449,,,,,18,31%,128
benifts,,,,,18,70%,128
burseries,,,,,18,83%,128
